timestamp,open,high,low,close,volume
2020-01-15,165.44,171.75,159.41,165.91,1967.84328
2020-01-16,165.59,165.72,158.62,164.43,685.02791
2020-01-17,164.63,174.22,163.04,170.21,1701.68023
2020-01-18,170.01,179.0,165.28,174.19,1535.67838
2020-01-19,174.29,178.23,162.77,166.83,1746.77142
2020-01-20,167.14,169.0,161.56,166.85,775.89315
2020-01-21,166.9,170.08,165.12,169.19,1654.97278
2020-01-22,169.78,171.34,166.27,168.22,590.70276
2020-01-23,168.23,168.29,159.63,162.9,1216.70292
2020-01-24,163.13,164.52,155.7,162.34,433.32051
2020-01-25,161.78,162.44,157.91,160.63,744.22533
2020-01-26,160.26,168.0,159.62,167.85,434.89771
2020-01-27,168.34,172.01,165.93,170.28,1158.97031
2020-01-28,170.54,176.52,170.45,175.91,673.12846
2020-01-29,175.99,178.33,173.49,173.86,834.19123
2020-01-30,173.86,187.02,171.0,184.41,798.76881
2020-01-31,184.67,185.65,175.35,179.53,492.91024
2020-02-01,179.43,184.37,179.35,183.75,290.87676
2020-02-02,183.19,193.5,179.52,188.65,559.78512
2020-02-03,188.07,195.54,187.12,190.15,764.0057
2020-02-04,190.55,191.45,185.0,189.06,625.08286
2020-02-05,188.89,207.52,188.21,203.85,1082.64183
2020-02-06,203.9,216.18,201.0,213.28,1152.74338
2020-02-07,213.39,224.58,213.39,223.52,1269.86538
2020-02-08,223.53,227.74,213.67,223.44,911.28269
2020-02-09,223.69,230.74,223.35,228.16,552.12199
2020-02-10,229.09,229.22,216.68,223.3,367.23964
2020-02-11,223.03,238.68,218.42,237.19,894.37749
2020-02-12,237.03,275.26,237.03,265.53,1558.62421
2020-02-13,265.55,278.15,257.21,268.96,2820.67236
2020-02-14,268.96,287.2,260.85,285.68,1068.3735
2020-02-15,285.7,288.41,262.24,265.05,2263.09522
2020-02-16,264.84,273.58,237.53,259.15,2904.47391
2020-02-17,259.06,269.61,242.44,267.94,2220.66277
2020-02-18,268.39,285.69,259.21,282.08,2072.07273
